"Ville","server","EXEC_COST","PER_INTER_REG_BW_COST","PER_INTRA_REGION_BW_COST","PER_INTRA_DATACENTER_COST","PER_MO_STORAGE_COST","PER_J_ENERGY_COST","REVENUE","SLA"
"11","Londres","Europe-west2",0.00000000408684722222222,0.00009375,0.0000078125,0.00000078125,0.0000000000403284143518519,0.0000000042944,0.008028840704,0.0008028840704
"19","Taiwan","Asia-east1",0.00000000367444444444444,0.00009375,0.0000078125,0.00000078125,0.0000000000335165895061728,0.0000000042944,0.00800555434666667,0.000800555434666667
"8","Zurich","Europe-west6",0.00000000446111111111111,0.00009375,0.0000078125,0.00000078125,0.000000000077562371399177,0.0000000042944,0.00805217137777778,0.000805217137777778
"18","Hong-Kong","Asia-east2",0.00000000446111111111111,0.00009375,0.0000078125,0.00000078125,0.0000000000274281442901235,0.0000000042944,0.00804862293333333,0.000804862293333333
"12","Belgique","Europe-west1",0.00000000350704861111111,0.00009375,0.0000078125,0.00000078125,0.0000000000335165895061728,0.0000000042944,0.00799629802666667,0.000799629802666667
